name,scholar_id,affiliation,interests,citedby,num_publications,coauthors_id
Colin Birch,vNL6y3cAAAAJ,"Associate Professor in Agriculture Systems, University of Southern Queensland","['Agriculture', 'Horticulture', 'Crop Physiology', 'Plant Nutrition', 'Crop Modelling']",2824,307,"['14d9qrkAAAAJ', 'kqJDPGIAAAAJ', 'v_C-I4AAAAAJ', '2XNlst0AAAAJ', '0JE6Z3EAAAAJ', 'QtqjfIIAAAAJ', 'z9JWs4YAAAAJ', 'FUlvGtkAAAAJ', 'gULg42oAAAAJ', 'lcHZQv0AAAAJ', 'q_UpHfgAAAAJ', 'ebb8bO0AAAAJ']"
José Manuel Ramos Sánchez,Ef6b9F4AAAAJ,Universidad Politécnica de Madrid,['Plant Biology'],107,6,"['2X5a4wwAAAAJ', 'YZAdiX8AAAAJ', 'W_V2098AAAAJ', 'jUeVqfMAAAAJ', 'iuBGuyIAAAAJ', '1tDFrWIAAAAJ', 'GrRMWC0AAAAJ', 'u0dRcMAAAAAJ']"
Steven P. Briggs,PtT4-xsAAAAJ,"Distinguished Professor of Cell & Developmental Biology, UC San Diego",['Plant Science'],19454,223,[]
Peter Hegemann,_XBE7n4AAAAJ,"Hertie Professor for Biophysics, Humboldt Universität zu Berlin","['Photobiology', 'Photoreceptors', 'Optogenetics']",31890,411,"['WhhC4LwAAAAJ', 'qsq0dCIAAAAJ', 'lcSKNHUAAAAJ', 'bRy7kWAAAAAJ', '4KSwjoMAAAAJ', 'o9KMv-MAAAAJ', 'VHO0m2AAAAAJ', '4xDsEF4AAAAJ', 'S9KXc1kAAAAJ', 'Y5v3590AAAAJ', 'e3Bi88QAAAAJ', 'B5QpZooAAAAJ', 'lvhYL3EAAAAJ', 'WFOEcE8AAAAJ', 'uDxKG8YAAAAJ', 'ecNYCYoAAAAJ', 'IMX-Bc4AAAAJ', 'EardHKwAAAAJ', 'phGC0R0AAAAJ', 'JQM9r0MAAAAJ', '2V1qNw4AAAAJ', 'nSSNcA8AAAAJ', '2zqGHsYAAAAJ', 'XLJZhpwAAAAJ', 'eUDZt2EAAAAJ', 'r0xbsPEAAAAJ', 'Z_pQwCkAAAAJ', 'i-0EfhgAAAAJ', 'YWHxhcAAAAAJ', 'Yfs6WJIAAAAJ', 'akgGAhIAAAAJ']"
Todd P Michael,XbYWR90AAAAJ,Salk Institute for Biological Studies,"['Genomics', 'Bioinformatics', 'Computational Biology', 'Circadian Rhythms']",19817,178,"['H2qTYnwAAAAJ', 'EeEtku8AAAAJ', 'EBcYqBAAAAAJ', 'Uzba980AAAAJ', '55sPPYMAAAAJ', 'h85nO_UAAAAJ', '217PMk0AAAAJ', 'VgzYS6IAAAAJ', 'XDgY-fMAAAAJ', 'Ok2XCzIAAAAJ', 'MRKUC8oAAAAJ', 'sr7S_AkAAAAJ', 'Gmiee4QAAAAJ', 'cXGVBi8AAAAJ', 'QPTprQEAAAAJ', '8CRLlesAAAAJ', 'ji0zVjgAAAAJ', 'ZVUGn78AAAAJ', 'aKFPl2cAAAAJ', 'ZWROIxAAAAAJ', 'hXICZlUAAAAJ', 'pCWtZocAAAAJ', 'JEG_GroAAAAJ', 'xc3ju04AAAAJ', 'M-lG3qsAAAAJ', 'aKnu9s0AAAAJ', 'dLniyH0AAAAJ', 'pnVpHL0AAAAJ', 'M68cB1AAAAAJ', '133WpF8AAAAJ', 'bqOn0-sAAAAJ', 'bjEoniUAAAAJ', '55Pjc-EAAAAJ']"
C. Robertson McClung,XDgY-fMAAAAJ,"Dartmouth College, Hanover, New Hampshire, USA","['Plant circadian rhythms', 'plant circadian clock']",11593,124,[]
Juan Pablo Monzon,Ah47oOAAAAAJ,"CONICET, Universidad Nacional de Mar del Plata","['crop ecophysiology', 'cropping systems', 'crop modelling']",1821,67,"['cabG52oAAAAJ', 'YZ0TSMcAAAAJ', 'oOrjGfQAAAAJ', '0v-MjcAAAAAJ', 'Dn1ofkEAAAAJ', 'SYNlKRoAAAAJ', 'tNTu2YcAAAAJ', 'txJ1XawAAAAJ', 'R4GVmWAAAAAJ', 'KA7t950AAAAJ', '33CD7DIAAAAJ', 'crRohGUAAAAJ', 'grhgSoAAAAAJ', 'UJ0aN3QAAAAJ', 'FOnRioYAAAAJ', '-afquAwAAAAJ', 'gtGbTGUAAAAJ', '9lwWYQQAAAAJ', 'xT_tFYsAAAAJ', 'MnwfxyAAAAAJ', 'qw_KU7oAAAAJ', 'VDotjHEAAAAJ', 'yehKg0AAAAAJ', '9Zp4-F8AAAAJ', '5IwpmrYAAAAJ', 'wQzqO0MAAAAJ', '4tc_YTEAAAAJ', 'Z98vwuAAAAAJ', 'eZuQdF0AAAAJ', 'OlVuKscAAAAJ']"
Alfred Holzwarth,5vy4tLYAAAAJ,"Prof. of Biophysics, Max-Planck-Institute (ret.)","['ultrafast spectroscopy', 'photosynthesis', 'biophysics', 'photochemistry', 'photophysics']",19877,391,"['I0m4aNcAAAAJ', 'fAXw3XoAAAAJ', '6co_5sgAAAAJ', '-SNf1wMAAAAJ', 'M_fHnooAAAAJ', 'A_2o97cAAAAJ', 'qexFZcUAAAAJ', '2tT-FokAAAAJ', 'aH7uwTsAAAAJ', 'LDVyiJQAAAAJ', '2s9ytF8AAAAJ', 'Dr13WaUAAAAJ', 'lA8SrhEAAAAJ', 'IFCZfe4AAAAJ', 'ZZociZ0AAAAJ', 'Ifb5EqMAAAAJ', 'HEQpE0oAAAAJ', 'JQM9r0MAAAAJ', 'EardHKwAAAAJ', 'E2wENuUAAAAJ', 'lUE5afYAAAAJ', 'Uq7hjAgAAAAJ', 'me9hhdwAAAAJ', 'QyOk4q8AAAAJ', 'Rq8pyGoAAAAJ', 'dIX6_JQAAAAJ', '4swLqmsAAAAJ', 'KItcKxcAAAAJ', 'eUDZt2EAAAAJ', 'CnFppkAAAAAJ', 'Rhl6wa0AAAAJ', 'Oh5F-2UAAAAJ', 'DeWUuVEAAAAJ', 'h9Nzcw8AAAAJ', 'C3gpjEoAAAAJ', '_E3iGYAAAAAJ', 'WJBykWwAAAAJ', 'aogee_YAAAAJ', 'LI_ESbQAAAAJ', 'A909-OoAAAAJ', 'DD2ytsUAAAAJ', 'CTzAnu4AAAAJ', 'cEgHysIAAAAJ', 'x-8dktsAAAAJ', 'VeBrezcAAAAJ', 'rW2gNy4AAAAJ', 'V8TYlM0AAAAJ', 'rRHlYT0AAAAJ', 'gtx8LCAAAAAJ', '3Yq-1EIAAAAJ', 'N1YbZwUAAAAJ', 'wVOesBEAAAAJ', 'YoAy9IkAAAAJ', 'SpQe8sQAAAAJ', 'NgbBQFIAAAAJ', 'Gc1H0LkAAAAJ', 'bQrj0mMAAAAJ', 'JQAwroAAAAAJ', '1UFasxoAAAAJ', 'eJzIlkoAAAAJ', 'i-0EfhgAAAAJ']"
Andrew E Firth,6kF5hy0AAAAJ,University of Cambridge,"['virology', 'RNA', 'bioinformatics', 'biology', 'astrophysics']",12393,202,[]
Saskia van Wees,4GaYr_UAAAAJ,"Professor Plant-Microbe Interactions, Utrecht University","['Plant Pathology', 'Plant-Microbe Interactions', 'Phytohormones', 'Transcriptional regulation']",21070,88,[]
