name,scholar_id,affiliation,interests,citedby,num_publications,coauthors_id
Marcelo J. Yanovsky,xc3ju04AAAAJ,"Lab Head, Plant Developmental Genomics, Fundación Instituto Leloir / Associate Professor, University","['Circadian rhythms', 'Alternative splicing', 'RNA processing', 'Functional genomics']",10755,100,"['xk-WIFMAAAAJ', '55sPPYMAAAAJ', 'jknynz0AAAAJ', 'ypGqJkEAAAAJ', 'UwxVXjIAAAAJ', 'O19Ub0MAAAAJ', '0_5sSdgAAAAJ', 'inSJ7L4AAAAJ', 'eDiPyCQAAAAJ', 'Yw5AAEkAAAAJ', 'KgHsXQ4AAAAJ', '9i8CMioAAAAJ', 'GseT2dUAAAAJ', 'JEG_GroAAAAJ', '6VZfvlIAAAAJ']"
Jorge Casal,xk-WIFMAAAAJ,"Professor, IFEVA-CONICET / Universidad de Buenos Aires, Argentina & Fundación Instituto Leloir","['Plant biology', 'light signaling', 'shade avoidance', 'thermomorphogenesis']",15946,221,"['8PEUMs4AAAAJ', 'xc3ju04AAAAJ', 'dGSeWqQAAAAJ', 'oa-FfGAAAAAJ', 'eF-rtLAAAAAJ', 'Dsr_4C4AAAAJ', 'b1C_YWoAAAAJ', '9i8CMioAAAAJ', 'fn-HY-AAAAAJ', 'R3yumOIAAAAJ', 'EZhch-MAAAAJ', 'GCFoh2oAAAAJ', 'EeEtku8AAAAJ', 'Yx5hx44AAAAJ', 'tMRVsS0AAAAJ', 'fsJzX7IAAAAJ', 'wxZ4dL4AAAAJ', 'iuBGuyIAAAAJ', 'fx2WMd8AAAAJ', 'GNEppUEAAAAJ', '2XNlst0AAAAJ', '55sPPYMAAAAJ', '14K2mxoAAAAJ', 'Dn1ofkEAAAAJ', 'mA1v4_8AAAAJ', '5alzifkAAAAJ', 'IcoBGggAAAAJ', 'EAcCGNsAAAAJ', 'EardHKwAAAAJ', 'q5XORckAAAAJ', 'CD6IAXYAAAAJ', '217PMk0AAAAJ', 'ZVUGn78AAAAJ', 'TFb3zxQAAAAJ', '0C-JalKXz8sC', 'dEQP81MAAAAJ', 'kK8ydoYAAAAJ', 'eRg7XakAAAAJ', '4FNFtoAAAAAJ', 'G1BTwzgAAAAJ', 'vHP8ugIAAAAJ', '58ZXn5QAAAAJ']"
Luciana Bianchimano,e2lodKAAAAAJ,Licenciada en Ciencias Biológicas,"['Plant biology', 'molecular biology', 'photobiology']",136,10,[]
Thomas E. Juenger,CD6IAXYAAAAJ,"University of Texas at Austin, Department of Integrative Biology","['Evolution', 'Ecological Genetics', 'Local Adaptation', 'Genomics', 'Physiology']",8437,206,"['ChaLuW8AAAAJ', '6hb_9Q8AAAAJ', 'HUvwHP8AAAAJ', '52Jb_t4AAAAJ', 'ZWsaXyUAAAAJ', '2NRaARoAAAAJ']"
Tong Zhu,Yx5hx44AAAAJ,"Syngenta Crop Protection, LLC.","['Plant Biology', 'Plant Science']",21814,167,"['TmhHwmQAAAAJ', 'abl02PoAAAAJ', 'DW8EhwMAAAAJ', 'h5JxeyQAAAAJ', 'AGN14uwAAAAJ', 'PtT4-xsAAAAJ', 'e5YUmpQAAAAJ', 'onuICRMAAAAJ', '7Y4BtfcAAAAJ', 'HHR21yIAAAAJ', 'NckY6S4AAAAJ', 'ZehLrSkAAAAJ', 'IeBc5OsAAAAJ', 'X_oLoKgAAAAJ', 'xzNOm3kAAAAJ', 'jDWzYLYAAAAJ', 'iZ-h758AAAAJ', 'xk-WIFMAAAAJ', 'EeEtku8AAAAJ', 'bjEoniUAAAAJ', '55sPPYMAAAAJ', 'GseT2dUAAAAJ', 'eDiPyCQAAAAJ', 'Js6inH0AAAAJ', 'MACDiEEAAAAJ', '0_gSb_IAAAAJ', 'BY7w1JEAAAAJ', 'TYhFeagAAAAJ', 'fop1IwgAAAAJ', 'f646BioAAAAJ', 'P6b5gfEAAAAJ', 'ktQ7T3UAAAAJ', '5KB8JHQAAAAJ', 'kw_ugLkAAAAJ', '39LHgdgAAAAJ', '3wmSTFgAAAAJ', 'I5zjYOUAAAAJ', 'mfNh204AAAAJ', '2jAB924AAAAJ', 'g3FIFwQAAAAJ', 'sr7S_AkAAAAJ', 'D2AYL24AAAAJ', 'RYFvFFIAAAAJ', 'LYDtTPoAAAAJ', 'JEG_GroAAAAJ', 'VgzYS6IAAAAJ', 'UalOPJgAAAAJ', 'ZCa3An8AAAAJ', '4GaYr_UAAAAJ', 'epojgGUAAAAJ', 'rkSTLLsAAAAJ', 'm7pBX58AAAAJ', 'aiYshBUAAAAJ', '-42meGUAAAAJ', 'WLHi-CEAAAAJ', 'M68cB1AAAAAJ', 'W9I1figAAAAJ', '5baHwxgAAAAJ', 'O4qWxUIAAAAJ', 'UalP_FwAAAAJ', 'FyHVHnkAAAAJ', 'JVTDNOwAAAAJ']"
Ferenc Nagy,wxZ4dL4AAAAJ,"Institute of Plant Biology, Biological Research Centre","['phytochrome', 'light signalling', 'photomorphogenesis', 'Arabidopsis']",28068,446,[]
R. Bottini,TFb3zxQAAAAJ,"Laboratorio de Bioquímica Vegetal, Instituto de Biología Agrícola de Mendoza, Facultad de Ciencias",['Fisiología y Bioquímica Vegetal'],8354,178,[]
Carlos L. Ballare,b1C_YWoAAAAJ,Professor IFEVA-IIB CONICET - Univ Buenos Aires - Universidad Nacional de San Martin - UNSAM,"['Plant Biology', 'photobiology', 'plant-insect interactions', 'plant-microbe interactions', 'photomorphogenesis']",18687,174,"['-K1-y5kAAAAJ', 'EeEtku8AAAAJ', 'iZ-h758AAAAJ']"
Bruno Andrieu,2XNlst0AAAAJ,INRAE,[],7212,275,"['6edweRUAAAAJ', 'EAcCGNsAAAAJ', 'OZQPK1sAAAAJ', 'vRcb0qUAAAAJ', 'qGnrg04AAAAJ', '3q8cduUAAAAJ', '9at8PAwAAAAJ', 'O3NBAokAAAAJ', 'tXUirE5dUMQC', 'vNL6y3cAAAAJ', 'AR9tnTsAAAAJ', 'zjNpOb4AAAAJ', '6iIhO3kAAAAJ', 'uKHT1_sAAAAJ', '1Yg-_A4AAAAJ', 'OVGvf-IAAAAJ', 'Pg6WnXcAAAAJ', 'fsJzX7IAAAAJ', '_eyZv68AAAAJ', 'LGr1sroAAAAJ', 'xk-WIFMAAAAJ', 'v_C-I4AAAAAJ', 'ISrKOVgAAAAJ', 'WOMqz2gAAAAJ', '_10A8dcAAAAJ', '7866HUIAAAAJ', 'K8DPnCEAAAAJ', 'aNQ8iMoAAAAJ', 'W-Co7voAAAAJ', 'y50JEn0AAAAJ', 'pKHbBgIAAAAJ', 'GMzw-RAAAAAJ', 'H793nr4AAAAJ', 'qK3NsmYAAAAJ', 'sxVWL-0AAAAJ', 'gEZglZkAAAAJ', 'BwmBK20AAAAJ', 'pjH7e8IAAAAJ', 'J-DuZxoAAAAJ', '6Km_nbIAAAAJ', 'X16jdg4AAAAJ', '7qGDlrYAAAAJ', 'S6glFMIAAAAJ', 'I7LVLjIAAAAJ', 'B9dv8JwAAAAJ', '4l7mi8wAAAAJ', '2YLxkDUAAAAJ', 'yNTV8OkAAAAJ', 'FY7VXbQAAAAJ']"
Rodolfo A Sanchez,8PEUMs4AAAAJ,Profesor Emerito de Fisiologia vegetal- Facultad de Agronomía. Universidad de Buenos Aires,['fotomorfogenesis fitocromos germinacion'],10957,130,"['xk-WIFMAAAAJ', 'imXhnxMAAAAJ', 'b1C_YWoAAAAJ', 'VNngUG4AAAAJ', '9i8CMioAAAAJ', '4IKg6V0AAAAJ', 'l7STPu0AAAAJ', '4FNFtoAAAAAJ', 'xc3ju04AAAAJ', 'UvqfUD0AAAAJ', 'gs0ubEEAAAAJ', 'TlYYSV0AAAAJ', '90qbU6sAAAAJ', 'DrETItUAAAAJ', 'pU5lskYAAAAJ', 'mA1v4_8AAAAJ', '7-_An6wAAAAJ', 'j6PH4pgAAAAJ', 'TFb3zxQAAAAJ', 'R3yumOIAAAAJ', 'MePQKuAAAAAJ', '0Xssgk0AAAAJ', 'xkVYxaUAAAAJ', '-K1-y5kAAAAJ', '1Vpm87MAAAAJ', 'EeEtku8AAAAJ', 'Yx5hx44AAAAJ', 'eF-rtLAAAAAJ', 'GPtUzj8AAAAJ', '3zRKAOIAAAAJ', '_YGcagEAAAAJ', 'uuO4VkQAAAAJ', '__8zuxMAAAAJ', '--h1TJgAAAAJ', '_CGxVh8AAAAJ', 'ShuQsqAAAAAJ', 'PzGNHQEAAAAJ', 'xzNOm3kAAAAJ', 'IUO9qzQAAAAJ', 'Krd1k78AAAAJ']"
Sabrina E. Sanchez,UwxVXjIAAAAJ,"Postdoctoral Fellow, Univ. of Southern California","['Molecular Plant Biology', 'Circadian Rhythms', 'Plant Physiology']",1344,22,"['xc3ju04AAAAJ', '0_5sSdgAAAAJ', 'jknynz0AAAAJ', '55sPPYMAAAAJ', 'ypGqJkEAAAAJ', 'VgzYS6IAAAAJ', 'AWccubUAAAAJ', 'Lw4_h_oAAAAJ', '1nubCLAAAAAJ', 'O19Ub0MAAAAJ', 'KgHsXQ4AAAAJ', '8hUIipMAAAAJ', 'JEG_GroAAAAJ', '217PMk0AAAAJ', 'Dcjz2_YAAAAJ', 'fcJnPgIAAAAJ', '9i8CMioAAAAJ', '7IH-XfEAAAAJ', 'xk-WIFMAAAAJ', 'JpYpjj0AAAAJ']"
Chernomoretz Ariel,O19Ub0MAAAAJ,Unknown affiliation,['Computational Biology'],1807,74,"['jqt0BWgAAAAJ', 'xc3ju04AAAAJ', 'TFWiQ_wAAAAJ', 'J58hVoEAAAAJ', 'EGL0JdMAAAAJ', '6UA7EwUAAAAJ', '2NX8v24AAAAJ']"
Christian Fankhauser,Dsr_4C4AAAAJ,"University of Lausanne, Center for Integrative Genomics","['photobiology', 'plant photoreceptors', 'plant morphogenesis', 'plant responses to the environment']",22007,147,[]
Edmundo Ploschuk,R3yumOIAAAAJ,"Profesor Asociado. Universidad de Buenos Aires, Facultad de Agronomía, Cultivos Industriales.","['Fotosíntesis', 'Ecofisiología de cultivos industriales', 'Oleaginosos perennes.']",2068,69,[]
Vinicius Costa Galvao,kK8ydoYAAAAJ,Bayer AG,['Genetics Molecular Biology'],2208,19,"['Dsr_4C4AAAAJ', 'UWyyLgIAAAAJ', 'xOxYkE0AAAAJ', 'VgzYS6IAAAAJ', 'EAee2uoAAAAJ']"
Otegui Maria Elena,fsJzX7IAAAAJ,Professor FAUBA - Senior Scientist CONICET,['Crop physiology - Maize - Crop Modeling - Crop Breeding'],10902,251,"['TMtCSKgAAAAJ', 'DVuZR_cAAAAJ', 'txJ1XawAAAAJ', 'IkRfwAkAAAAJ', 'jFH_1yUAAAAJ', 'GpduQV8AAAAJ', 'VDotjHEAAAAJ', 'Dn1ofkEAAAAJ', 'xk-WIFMAAAAJ', 'tNTu2YcAAAAJ', 'x45ysVcAAAAJ', '2XNlst0AAAAJ', 'F37dnTIAAAAJ', 'kONnS5AAAAAJ', 'OlVuKscAAAAJ', 'mKlH1skAAAAJ', 'EAcCGNsAAAAJ', '25g7OeAAAAAJ', 'JpYpjj0AAAAJ', 'vho7dNUAAAAJ', 'MThlD8oAAAAJ', 'Y-USbfkAAAAJ', '2fQcUR0AAAAJ', 'iwBN5_AAAAAJ', 'zixUVv4AAAAJ']"
Javier F Botto,9i8CMioAAAAJ,"Profesor of Plant Physiology and Principal Reseracher (Agronomy School, University of Buenos Aires).","['Plant Biology', 'Seed dormancy', 'Photobiology', 'Transcription Factors', 'Natural variation']",3401,86,[]
Alberto Kornblihtt,Yw5AAEkAAAAJ,"IFIBYNE-UBA-CONICET and FCEN-UBA, Argentina","['RNA', 'splicing', 'biochemistry', 'transcription', 'molecular biology']",17097,162,"['vOy8qjgAAAAJ', 'wNge-pIAAAAJ', '0_5sSdgAAAAJ', 'SDjGISIAAAAJ', 'MaB8PC0AAAAJ', '0yqkGyoAAAAJ', 'gFXgfpkAAAAJ', 'w-Wnuy0AAAAJ', 'apGnLtwAAAAJ', '0l__eQEAAAAJ', 'NsiPWQIAAAAJ', '72-5gbIAAAAJ', 'xzVpLYoAAAAJ', 'LiojlGoAAAAJ', 'xc3ju04AAAAJ', 'zmhBmaUAAAAJ', 'UwxVXjIAAAAJ', 'xzHni00AAAAJ', 'Lw4_h_oAAAAJ', '2KdNUxQAAAAJ', 'Q-zkqIkAAAAJ', '29u4W8cAAAAJ', '32WGiuQAAAAJ', 'n6C43xoAAAAJ', '87Jjp3kAAAAJ', 'WF1qv0oAAAAJ', '3AgOF0EAAAAJ', '4aa200MAAAAJ', '0lT8y1YAAAAJ', 'ECvHAFoAAAAJ', 'OvsvnX0AAAAJ', '0u2O31wAAAAJ', 'j4272qEAAAAJ', '7IH-XfEAAAAJ', 'KgHsXQ4AAAAJ', 'JEG_GroAAAAJ', '8hUIipMAAAAJ', 'jknynz0AAAAJ', '7ArE_sgAAAAJ', 'HB65COYAAAAJ', 'X5XVi-QAAAAJ', 'UZI3McwAAAAJ', 'ORAM2mEAAAAJ', 'Fx6Z324AAAAJ', 'F9khVmQAAAAJ', 'H6IBgAEAAAAJ', 'TFWiQ_wAAAAJ', 'gUJiTCYAAAAJ', 'Vx1pDt4AAAAJ', 'MOwgMkEAAAAJ', 'qzsytvoAAAAJ', 'QNZZUZIAAAAJ', 'Z6faNa0AAAAJ', 'x3zc5fkAAAAJ', 'PCD5Q18AAAAJ', 'mPCEFOsAAAAJ', 'iWB7XD4AAAAJ', 'HvLhF10AAAAJ', 'NSz6MSwAAAAJ', 'kFC0vzIAAAAJ', 'r3rF-CEAAAAJ', 'OqOKB8wAAAAJ', 'RQj_Wh4AAAAJ', 'nP45XXcAAAAJ', 'WRjOa_gAAAAJ']"
Steve A Kay,55sPPYMAAAAJ,University of Southern California,"['Circadian', 'Drug Discovery', 'Systems Biology', 'Transcription']",62612,370,"['GseT2dUAAAAJ', '6VZfvlIAAAAJ', 'uurQUZIAAAAJ', 'EeEtku8AAAAJ', 'xc3ju04AAAAJ', 'HJRtfYIAAAAJ', 'x1V6G-gAAAAJ', '217PMk0AAAAJ', 'XbYWR90AAAAJ', 'fcJnPgIAAAAJ', 'KgHsXQ4AAAAJ', 'H2qTYnwAAAAJ', 'EBcYqBAAAAAJ', 'xPGhKkoAAAAJ', 'JEG_GroAAAAJ', 'u6GisbUAAAAJ', 'QPTprQEAAAAJ', '8CRLlesAAAAJ', 'Yx5hx44AAAAJ', 'B8aiySEAAAAJ', '7KE5xxIAAAAJ', 'xk-WIFMAAAAJ', 'Q3cl7PEAAAAJ', 'bNvAekUAAAAJ', 'xRI4uYcAAAAJ', 'BSf9OLAAAAAJ', 'hKV4ZD8AAAAJ', '133WpF8AAAAJ', 'M68cB1AAAAAJ', 'VgzYS6IAAAAJ', 'xiL1lscAAAAJ', 'bjEoniUAAAAJ', 'mBycqEwAAAAJ']"
Wolfgang Gärtner,EardHKwAAAAJ,"Principal Investigator, Max Planck Society/Univ. Leipzig","['Proteins', 'photoreceptors']",10422,320,"['r0xbsPEAAAAJ', 'I0m4aNcAAAAJ', 'j1nCW30AAAAJ', 'JQM9r0MAAAAJ', 'EfL-oVYAAAAJ', 'LDVyiJQAAAAJ', 'GksRvGUAAAAJ', 'Za5ovsEAAAAJ', '19F04ZAAAAAJ', '_XBE7n4AAAAJ', 'Xu4rWmsAAAAJ', 'vdLhkkQAAAAJ', 'wRfg8xAAAAAJ', 'dKr54e4AAAAJ', 'd-SAqi4AAAAJ', 'UX-YOtIAAAAJ', '-KRHVugAAAAJ', '5vy4tLYAAAAJ', 'WcNpm88AAAAJ', 'FtRb-LIAAAAJ', 'dfKmGPYAAAAJ', 'SBOoN40AAAAJ', 'lZX8nYsAAAAJ', '_FgiI_gAAAAJ', 'A_2o97cAAAAJ', 'tgKUB-EAAAAJ', '4jWTfPoAAAAJ', 'QjaWpYkAAAAJ', 'wRfnaAcAAAAJ', 'yhUWfaYAAAAJ', 'xk-WIFMAAAAJ', 'XLJZhpwAAAAJ', 'ngck8CoAAAAJ', 'WQJ__LYAAAAJ', '5UBFHtQAAAAJ', 'Qchl34UAAAAJ', 'soaaMSkAAAAJ', 's_RFb4AAAAAJ', 'x7EIxZoAAAAJ', 'k7vghtEAAAAJ', 'bWpCfPQAAAAJ', 'Z_pQwCkAAAAJ', 'Cu8CMlEAAAAJ', 'GaleEZ8AAAAJ']"
Eberhard Schaefer,EZhch-MAAAAJ,Professor Biologie Albert Ludwigs Universität Freiburg,['Biologie'],22752,280,"['wxZ4dL4AAAAJ', 'OrjZe0cAAAAJ', '1kJ5xGcAAAAJ', 'xzNOm3kAAAAJ', 'QkktlvsAAAAJ', 'nyEiVF8AAAAJ', 'rkSTLLsAAAAJ', 'xk-WIFMAAAAJ', 'VoaFGk0AAAAJ', 'iuBGuyIAAAAJ', 'xkVYxaUAAAAJ', 'x0tQ6g0AAAAJ', 'h6gO0jkAAAAJ', 'T98tNuoAAAAJ', 'JblkJL4AAAAJ', '8dZHBk0AAAAJ', 'Dsr_4C4AAAAJ', '-sPR7UIAAAAJ', '895-LKEAAAAJ', 'KANRFd8AAAAJ', '6pNkPrwAAAAJ', 'XPMNpykAAAAJ', 'IeBc5OsAAAAJ', 'Gg1SOJoAAAAJ', 'BFfCpVIAAAAJ', 'NqeVwNIAAAAJ', 'wpwL6pgAAAAJ', '3iFGOaMAAAAJ', 'K2dBArkAAAAJ', '55sPPYMAAAAJ', '_Loyn5AAAAAJ', 'x7EIxZoAAAAJ', '217PMk0AAAAJ', 'hu2k_QQAAAAJ', 'c6Mbf38AAAAJ', 'IgXBYaEAAAAJ', 'rp9U0hcAAAAJ', '6Opnr8cAAAAJ', 'jXNmA9IAAAAJ', '-8nATOkAAAAJ', 'mXptns8AAAAJ', 'EeEtku8AAAAJ', 'N3htA-MAAAAJ', 'OhRDh4oAAAAJ', 'Vg4WDV0AAAAJ', '3b2xQdYAAAAJ', 'O_njxHUAAAAJ', 'yImHNmUAAAAJ', 'JQWeCFAAAAAJ', 'Js6inH0AAAAJ', '6zOh8VsAAAAJ']"
Estefania Mancini,ypGqJkEAAAAJ,MultiplAI health,['Bioinformatics'],995,28,[]
Carlos Mazza,5alzifkAAAAJ,"IFEVA, Facultad de Agronomía, UBA-CONICET","['Plant Biology', 'photobiology', 'plant-insect interactions']",2218,25,"['b1C_YWoAAAAJ', 'S33NYJcAAAAJ', 'MVeVpjUAAAAJ', '-K1-y5kAAAAJ', 'eF-rtLAAAAAJ', 'xk-WIFMAAAAJ']"
Stacey Harmer,eDiPyCQAAAAJ,"Professor of Plant Biology, University of California, Davis","['circadian biology', 'plant genetics', 'growth regulation']",11283,82,"['55sPPYMAAAAJ', 'mMTIks0AAAAJ', '8CRLlesAAAAJ', 'xzIKvQYAAAAJ', 'A-p5nxcAAAAJ', 'xc3ju04AAAAJ', 'J2xAQBgAAAAJ', 'sim7LIIAAAAJ', 'Yx5hx44AAAAJ', 'GseT2dUAAAAJ', '6VZfvlIAAAAJ', '-OdJO1UAAAAJ', 'ynBMoTgAAAAJ']"
Walter Gassmann,q5XORckAAAAJ,Christopher S. Bond Life Sciences Center - University of Missouri,['plant biology'],9737,130,[]
Maria Agustina Mazzella,eF-rtLAAAAAJ,"INGEBI, Instituto en Ingeniería Genética y Biología Molecuar",['Plant Molecuar Biology'],1363,37,[]
Joseph R. Ecker,217PMk0AAAAJ,Howard Hughes Medical Institute and The Salk Institute for Biological Studies,"['DNA methylation', 'Epigenomics', 'Neurobiology', 'Plant Biology', 'Arabidopsis']",137578,430,"['eCyWVPUAAAAJ', 'ZVUGn78AAAAJ', 'HHtq-H8AAAAJ', 'XU7ZT5kAAAAJ', 'B8aiySEAAAAJ', '6AfWQkAAAAAJ', 'EeEtku8AAAAJ', 'bqOn0-sAAAAJ', 'ZxwExtQAAAAJ', 'eFnTvrYAAAAJ', 'GOjybYoAAAAJ', 'mOz04AQAAAAJ', 'lZxTkUUAAAAJ', 'VgzYS6IAAAAJ', 'wDYHn8YAAAAJ', '10Fx1a4AAAAJ', 'XMHmvxIAAAAJ', 'vlI9WiYAAAAJ', 'fMgMCaoAAAAJ', 'm1qAiOUAAAAJ', 'Ti5vXmUAAAAJ', '5VSo-eAAAAAJ', 'tRsBTUkAAAAJ', 'kliUKtEAAAAJ', 'jEPUJ7oAAAAJ', 'tTxJ968AAAAJ', 'vfIYq-AAAAAJ', 'IL8SKD8AAAAJ', 'kxocNBsAAAAJ', '55sPPYMAAAAJ', 'U5XX5wgAAAAJ', 'XbYWR90AAAAJ', 'ycYsFqYAAAAJ', 'XxMvwwMAAAAJ', 'JEG_GroAAAAJ', '9tn1pf4AAAAJ', '133WpF8AAAAJ', 'JeRm9ecAAAAJ', '0fYznpwAAAAJ', '5jCyZbIAAAAJ', 'LjfGNNwAAAAJ', 'IeBc5OsAAAAJ', 'XqaPhd0AAAAJ', 'MOaFLkMAAAAJ', 'sr7S_AkAAAAJ', 'H2qTYnwAAAAJ', 'lRTRxSIAAAAJ', 'TT_duF0AAAAJ']"
Seth J. Davis,dEQP81MAAAAJ,"Chair of Plant Biology, Professor at the University of York","['plant circadian rhythms', 'developmental plasticity', 'hormonal integration', 'genetic methods']",10230,148,"['AMq1lmIAAAAJ', 'wxZ4dL4AAAAJ', 'j2KX3hMAAAAJ', 'TM_16JoAAAAJ', 'IOq4tUIAAAAJ', 'JkBm7NMAAAAJ', '14K2mxoAAAAJ', 'dkYEhFUAAAAJ', 'u9tA5QwAAAAJ', 'Q3cl7PEAAAAJ', 'qR6XLacAAAAJ', 'dPnQIkEAAAAJ', 'Jhj7LZUAAAAJ', 'aESuL1AAAAAJ', 'mBycqEwAAAAJ', 'vzgSD40AAAAJ', 'U6GUf8YAAAAJ', '0C-JalKXz8sC', 'TRgYFIMAAAAJ', 'm0kSO78AAAAJ', 'ScOWl-sAAAAJ', 'XDgY-fMAAAAJ', 'rkSTLLsAAAAJ', 'qRYzu3sAAAAJ', 'v9HadIcAAAAJ', 'EeEtku8AAAAJ', 'Dsr_4C4AAAAJ', 'uurQUZIAAAAJ', 'GrRMWC0AAAAJ', 'xc3ju04AAAAJ', 'xk-WIFMAAAAJ', 'K2dBArkAAAAJ', 'IYRZ_tMAAAAJ']"
Andrés Romanowski,inSJ7L4AAAAJ,"Plant-Environment Signaling, Utrecht University, The Netherlands","['chronobiology', 'circadian', 'Arabidopsis thaliana', 'photobiology', 'Caenorhabditis elegans']",756,34,"['PZMMfnYAAAAJ', 'xc3ju04AAAAJ', 'upmgWuQAAAAJ', 'jknynz0AAAAJ', 'ypGqJkEAAAAJ', 'UwxVXjIAAAAJ', '6abeQQ8AAAAJ', 'fVYj23cAAAAJ', 'EH67z9UAAAAJ', '4_jWDuAAAAAJ', 'UvqfUD0AAAAJ', 'wupQj5sAAAAJ', 'pnVP9X8AAAAJ', 'Y5FFqzMAAAAJ', 't1R_HHkAAAAJ', 'amqmzHEAAAAJ', 'rXV3plcAAAAJ', '7IH-XfEAAAAJ', 'ddVngUEAAAAJ', 'aESuL1AAAAAJ', 'ctpG8IMAAAAJ', 'ht-apfcAAAAJ', '9YB5SoYAAAAJ', 'Fp2-p_AAAAAJ', 'VliDR3kAAAAJ', 'OhI1OF8AAAAJ', 'tgAGQm0AAAAJ', 'Ob63snkAAAAJ']"
María Fernanda Ceriani,KgHsXQ4AAAAJ,Fundación Instituto Leloir,"['neuroscience', 'circadian rhythms', 'Drosophila']",4405,69,"['55sPPYMAAAAJ', '8hUIipMAAAAJ', '1Yt52KcAAAAJ', 'xc3ju04AAAAJ', 'GseT2dUAAAAJ', '6VZfvlIAAAAJ', '_oa4VVsAAAAJ', 'jknynz0AAAAJ', 'UwxVXjIAAAAJ']"
Enamul Huq,vHP8ugIAAAAJ,University of Texas at Austin,['Light signaling/thermomorphogenesis/protein degradation/splicing'],11753,100,"['xzNOm3kAAAAJ', 'E36WtkwAAAAJ', 'dGDUM9gAAAAJ', 'ohkcVKwAAAAJ', 'NqeVwNIAAAAJ', '1kJ5xGcAAAAJ', 'ln6TTI0AAAAJ', '-be0SCMAAAAJ', 'xjkZCI0AAAAJ', '1UqyE3UAAAAJ', 'm5b_glAAAAAJ', 'bjEoniUAAAAJ', 'MnZ2P5MAAAAJ', 'qoEp7jkAAAAJ', 'c6Mbf38AAAAJ', 'nGj4p9YAAAAJ', 'K2dBArkAAAAJ', 'pRQe6ooAAAAJ', '09bNVAMAAAAJ', 'MOaFLkMAAAAJ', 'naV7jr8AAAAJ', 'ILF-FQUAAAAJ', 'adrAdecAAAAJ', 'JH2zKvYAAAAJ', '3fZfRNMAAAAJ', 'qXPd_pcAAAAJ', 'q91SPc8AAAAJ', 'xRI4uYcAAAAJ', 'zc3K4EQAAAAJ', 'ikJJDskAAAAJ', 'HnD2xxIAAAAJ', 'UMbfxUAAAAAJ', 'W8tPcGQAAAAJ', '6iGPw-MAAAAJ', 'ypGqJkEAAAAJ', 'Gmiee4QAAAAJ', 'VgzYS6IAAAAJ', 'xc3ju04AAAAJ', '6Z88TncAAAAJ', 'PC8FtfkAAAAJ', '88k8gjQAAAAJ', 'Z2lFapQAAAAJ', 'OXQvPOgAAAAJ', 'hThgIdEAAAAJ', 'EKguzeUAAAAJ', 'hB7ISUUAAAAJ', 'GkvvVp8AAAAJ', 'xk-WIFMAAAAJ', 'EeEtku8AAAAJ', 'w-Y6TTAAAAAJ', 'BsieyxQAAAAJ', 'EMVGAKgAAAAJ', 'KHtiAOMAAAAJ']"
Joanne Chory,EeEtku8AAAAJ,The Salk Institute and HHMI,['plant growth'],85146,453,"['VgzYS6IAAAAJ', '217PMk0AAAAJ', 'z2foFg4AAAAJ']"
George Coupland,14K2mxoAAAAJ,Max Planck Institute for Plant Breeding Research,['Biology'],43199,296,"['G1BTwzgAAAAJ', '0C-JalKXz8sC', '7pPlII0AAAAJ', '-5siVaYAAAAJ', 'h6SKsysAAAAJ', 'oouV2fwAAAAJ', 'F23tKLkAAAAJ', 'YAp9-n4AAAAJ', 'C2fAnUoAAAAJ', 'aESuL1AAAAAJ', 'qy1yQ58AAAAJ', 'FQdpiAwAAAAJ', 'DdnQ04gAAAAJ', '8CLkJbgAAAAJ', 'JeSmspgAAAAJ', 'rbOjlVwAAAAJ', 'wpwL6pgAAAAJ', 'zF_xMMcAAAAJ', 'gqd7-vQAAAAJ', '2IgKFDQAAAAJ', 'mM2nc5MAAAAJ', 'dEQP81MAAAAJ', 'goaqv1YAAAAJ', 'TA9WVPsAAAAJ', 'AvoaipUAAAAJ', 'uHTSF4kAAAAJ', 'Ul3XGYMAAAAJ']"
Arana M. Veronica,4FNFtoAAAAAJ,CONICET - Consejo Nacional de Investigaciones Científicas y Téncnicas,"['Seed and seelding physiology', 'light quality', 'circadian clock', 'genomics ...']",963,34,[]
Justin Borevitz,JEG_GroAAAAJ,"Research School of Biology, Australian National University",['Plant Genomics & Phenomics for Climate Intervention'],17803,133,"['VgzYS6IAAAAJ', 'EeEtku8AAAAJ', '133WpF8AAAAJ', 'AWccubUAAAAJ', '8CRLlesAAAAJ', '217PMk0AAAAJ']"
Fernando Andrés,G1BTwzgAAAAJ,INRAE,"['Plant molecular biology', 'arabidopsis', 'apple', 'flowering', 'plant development']",3256,59,[]
Joanna Putterill,0C-JalKXz8sC,"Professor in School of Biological Sciences, University of Auckland","['Plant', 'Gene expression', 'Circadian Clock', 'Flowering time']",11826,93,[]
Alan M  Lloyd,GNEppUEAAAAJ,"Professor of Molecular Biosciences, The University of Texas at Austin","['developmental biology', 'secondary metabolism', 'genetics']",12916,91,[]
Romina Sellaro,oa-FfGAAAAAJ,"CONICET-IFEVA / Universidad de Buenos Aires, Argentina",['Plant physiology - Photomorphogenesis'],1038,18,"['xk-WIFMAAAAJ', 'xc3ju04AAAAJ', 'GCFoh2oAAAAJ', 'EeEtku8AAAAJ']"
